variable,label
wis_connection_15,During my time within my unit in the military I always felt like an outsider.
wis_private_5,I often regret my military service.
wis_centrality_24,Being a veteran is not a major factor in my social relationships.
wis_private_7,I am ashamed of my military service.
wis_connection_17,Throughout my time in the military I resisted believing in military rituals and norms.
wis_skills_31,I miss the job related aspects of my time in the military.
wis_interdependent10,I become friends with other veterans more quickly than with non-veterans.
wis_private_2,I feel good about my military service.
wis_private_6,I am proud to have served in the military.
wis_public_28,Society views veterans as an asset.
wis_public_27,"In general, other groups view veterans in a positive manner."
wis_interdependent12,"Regarding other veterans, it is accurate to say, “United we stand, divided we fall.”"
wis_family_18,I miss my military friends.
wis_public_26,"In general, others respect veterans and members of the military."
wis_interdependent_9,When I meet other veterans I can trust them more quickly than other people.
wis_skills_29,I appreciate the skills I learned in the military.
wis_family_20,By leaving the military I lost a family.
wis_centrality_23,Being a veteran is unimportant to my sense of what kind of person I am.
wis_centrality_21,"Overall, having served in the military has very little to do with how I feel about myself."
wis_interdependent13,The most important things that have happened in my life involve my military service.
attention_check_wis,"For this question, respond with the answer Agree."
wis_centrality_22,"In general, being a veteran is an important part of my self-image."
wis_interdependent_8,Only other veterans can truly understand me.
wis_connection_16,I never felt emotionally connected to my military unit.
wis_public_25,"Overall, veterans are highly thought of."
wis_interdependent14,"When I talk about the military, I usually say ‘we’ rather than ‘they.’"
wis_private_3,I am proud of the things that veterans have accomplished.
scc_1,My beliefs about myself often conflict with one another.
scc_2,On one day I might have one opinion of myself and on another day I might have a different opinion.
scc_3,I spend a lot of time wondering about what kind of person I really am.
scc_4,Sometimes I feel that I am not really the person that I appear to be.
scc_5,"When I think about the kind of person I have been in the past, I'm not sure what I was really like."
scc_6,I seldom experience conflict between the different aspects of my personality.
scc_7,Sometimes I think I know other people better than I know myself.
scc_8,My beliefs about myself seem to change very frequently.
scc_9,"If I were asked to describe my personality, my description might end up being different from one day to another day."
scc_10,"Even if I wanted to, I don't think I would tell someone what I'm really like."
scc_11,"In general, I have a clear sense of who I am and what I am."
scc_12,It is often hard for me to make up my mind about things because I don't really know what I want.
honeypot2_1,Did you serve in a military unit? - Yes
mcarm_5,I feel I don’t belong anywhere.
mcarm_12,"Despite all my experience in the military, I am undervalued by civilians."
mcarm_3,I have a sense of purpose.
mcarm_9,I find it difficult to ask for help if I’m struggling.
mcarm_20,I am a flexible person and I don’t mind changing to suit others when required.
mcarm_21,Some of my military habits cause problems for me.
mcarm_11,Civilians seem to be concerned with trivial matters.
mcarm_8,I would never seek help from a mental health professional.
mcarm_2,I have interests and hobbies that are enjoyable or meaningful.
mcarm_6,"Outside of the military, I have found people that I connect with through shared interests or beliefs."
mcarm_19,I find it difficult to change once I have a set routine.
mcarm_16,The military broke me and then kicked me out.
mcarm_10,I know how to access professional support for my health.
mcarm_1,"I have things that give me a sense of purpose, outside of paid employment."
mcarm_13,Civilians are disrespectful and rude.
mcarm_4,I am fulfilled.
mcarm_14,I don’t think society puts much value on military service and experience.
mcarm_18,I am more regimented than flexible.
mcarm_17,I have a lot of regrets about my service.
mcarm_7,I would ask for help if I needed it.
mcarm_15,I’m angry about the way I was treated during my service.
m2cq_1,Dealing with people you do not know well (such as acquaintances or strangers)?
m2cq_2,Making new friends?
m2cq_3,Keeping up friendships with people who have no military experience?
m2cq_4,Keeping up friendships with people who have military experiences (including friends who are active duty or veterans)?
m2cq_5,"Getting along with relatives (such as siblings, parents, grandparents, in-laws and children not living at home)?"
m2cq_6,"Getting along with your spouse or partner (such as communicating, doing things together, enjoying his or her company)?"
m2cq_7,"Getting along with your child or children (such as communicating, doing things together, enjoying his or her company)?"
m2cq_8,Finding or keeping a job (paid or nonpaid or self-employment)?
m2cq_9,Doing what you need to do for work or school?
m2cq_10,"Taking care of your chores at home (such as housework, yard work, cooking, cleaning, shopping, errands)?"
m2cq_11,"Taking care of your health (such as exercising, sleeping, bathing, eating well, taking medications as needed)?"
m2cq_12,Enjoying or making good use of free time?
m2cq_13,"Taking part in community events or celebrations (for example, festivals, PTA meetings, religious or other activities)?"
m2cq_14,Feeling like you belong in “civilian” society?
m2cq_15,Confiding or sharing personal thoughts and feelings?
m2cq_16,Finding meaning or purpose in life?
honeypot3,What is 2 + 2?
race_1,What categories describe you? (select all that apply) - asian
race_2,What categories describe you? (select all that apply) - native
race_3,What categories describe you? (select all that apply) - black
race_4,What categories describe you? (select all that apply) - latino
race_5,What categories describe you? (select all that apply) - mena
race_6,What categories describe you? (select all that apply) - pacific
race_7,What categories describe you? (select all that apply) - white
race_8,What categories describe you? (select all that apply) - other
sex,What is your sex/gender? - Selected Choice
sex_4_TEXT,What is your sex/gender? - Other - Text
sexual_orientation,What is your sexual orientation? - Selected Choice
sexual_orientation_6_TEXT,What is your sexual orientation? - A sexuality not listed above - Text
religious,Do you consider yourself religious/spiritual?
worship,"How often do you attend a place of worship? (e.g., church, temple, mosque)"
politics,What best describes your political affiliation?
marital,What is your marital status?
employment_1,What is your employment status? (select all that apply) - Full-Time
employment_2,What is your employment status? (select all that apply) - Part-Time
employment_3,What is your employment status? (select all that apply) - Irregular
employment_4,What is your employment status? (select all that apply) - Unemployed
employment_5,What is your employment status? (select all that apply) - Retired
employment_6,What is your employment status? (select all that apply) - Student
education,What is the highest level of school you have completed?
job_like_military,How similar is your current job to the military?
SC0,Score
opp,opp
ID,ID
rid,rid
RISN,RISN
transaction_id,transaction_id
SVID,SVID
Q_BallotBoxStuffing,Q_BallotBoxStuffing
gc,gc
term,term
V,V
Response Type,Response Type
LS,LS
PS,PS
